company_id,company_name,headquarters_country,company_type,notes
NORDZUCKER,Nordzucker,Germany,Sugar producer,Reference company
SUEDZUCKER,Südzucker,Germany,Diversified sugar group,Major European competitor
PFEIFER_LANGEN,Pfeifer & Langen,Germany,Sugar producer,Germany and Poland presence
TEREOS,Tereos,France,Cooperative sugar group,French competitor
ABF_SUGAR,ABF Sugar,United Kingdom,Sugar business unit,UK/Spain/Africa footprint
CRISTAL_UNION,Cristal Union,France,Cooperative sugar group,French competitor
