company_id,company_name,year,metric,value,unit,source_document,value_kt_co2e,source_page,source_url,source_link,metric_scope
NORDZUCKER,Nordzucker AG,2018,Scope 1 GHG emissions,1171305,t CO2,documents/00_nordzucker/240305-NZ_Nh_Transparency_E.pdf,1171.305,,https://www.nordzucker.com/en/wp-content/uploads/2024/03/240305-NZ_Nh_Transparency_E.pdf,[240305-NZ_Nh_Transparency_E.pdf](https://www.nordzucker.com/en/wp-content/uploads/2024/03/240305-NZ_Nh_Transparency_E.pdf),
NORDZUCKER,Nordzucker AG,2019,Scope 1 GHG emissions,1131967,t CO2,documents/00_nordzucker/240305-NZ_Nh_Transparency_E.pdf,1131.967,,https://www.nordzucker.com/en/wp-content/uploads/2024/03/240305-NZ_Nh_Transparency_E.pdf,[240305-NZ_Nh_Transparency_E.pdf](https://www.nordzucker.com/en/wp-content/uploads/2024/03/240305-NZ_Nh_Transparency_E.pdf),
NORDZUCKER,Nordzucker AG,2020,Scope 1 GHG emissions,1126244,t CO2,documents/00_nordzucker/240305-NZ_Nh_Transparency_E.pdf,1126.244,,https://www.nordzucker.com/en/wp-content/uploads/2024/03/240305-NZ_Nh_Transparency_E.pdf,[240305-NZ_Nh_Transparency_E.pdf](https://www.nordzucker.com/en/wp-content/uploads/2024/03/240305-NZ_Nh_Transparency_E.pdf),
NORDZUCKER,Nordzucker AG,2021,Scope 1 GHG emissions,1120805,t CO2,documents/00_nordzucker/240305-NZ_Nh_Transparency_E.pdf,1120.805,,https://www.nordzucker.com/en/wp-content/uploads/2024/03/240305-NZ_Nh_Transparency_E.pdf,[240305-NZ_Nh_Transparency_E.pdf](https://www.nordzucker.com/en/wp-content/uploads/2024/03/240305-NZ_Nh_Transparency_E.pdf),
NORDZUCKER,Nordzucker AG,2022,Scope 1 GHG emissions,1095561,t CO2,documents/00_nordzucker/240305-NZ_Nh_Transparency_E.pdf,1095.561,,https://www.nordzucker.com/en/wp-content/uploads/2024/03/240305-NZ_Nh_Transparency_E.pdf,[240305-NZ_Nh_Transparency_E.pdf](https://www.nordzucker.com/en/wp-content/uploads/2024/03/240305-NZ_Nh_Transparency_E.pdf),
ABF_SUGAR,ABF Sugar,2024,Scope 1 and 2 GHG emissions (market-based),1888,kt CO2e,documents/04_abf-sugar/abf-annual-report-2025.pdf.downloadasset.pdf,1888.0,34.0,https://www.abf.co.uk/content/dam/abf/corporate/Documents/investors/annual-and-interim-reports/2025/abf-annual-report-2025.pdf.downloadasset.pdf,[ABF Annual Report 2024 p. 34.0](https://www.abf.co.uk/content/dam/abf/corporate/Documents/investors/annual-and-interim-reports/2025/abf-annual-report-2025.pdf.downloadasset.pdf#page=34),Scope 1+2
ABF_SUGAR,ABF Sugar,2025,Scope 1 and 2 GHG emissions (market-based),1724,kt CO2e,documents/04_abf-sugar/abf-annual-report-2025.pdf.downloadasset.pdf,1724.0,34.0,https://www.abf.co.uk/content/dam/abf/corporate/Documents/investors/annual-and-interim-reports/2025/abf-annual-report-2025.pdf.downloadasset.pdf,[ABF Annual Report 2025 p. 34.0](https://www.abf.co.uk/content/dam/abf/corporate/Documents/investors/annual-and-interim-reports/2025/abf-annual-report-2025.pdf.downloadasset.pdf#page=34),Scope 1+2
